country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
United_States_of_America,0.062 (0.061 - 0.063),22.1% (19.7% - 24.6%),4.52 (4.06 - 5.06),176472,806000 (725000 - 903000)
United_Kingdom,0.105 (0.102 - 0.109),13.1% (11.7% - 14.6%),7.64 (6.83 - 8.58),33000,284000 (255000 - 319000)
United_Arab_Emirates,0.018 (0.014 - 0.023),76.4% (58.9% - 100.0%),1.31 (1 - 1.7),3818,4760 (4190 - 5510)
Ukraine,0.035 (0.028 - 0.042),39.6% (31.8% - 49.8%),2.52 (2.01 - 3.14),3299,6700 (5840 - 7690)
Turkey,0.021 (0.019 - 0.023),66.0% (56.9% - 76.2%),1.52 (1.31 - 1.76),12740,19800 (17700 - 22200)
Switzerland,0.057 (0.044 - 0.071),24.2% (18.9% - 31.8%),4.13 (3.15 - 5.29),434,2280 (1950 - 2670)
Sweden,0.131 (0.121 - 0.142),10.5% (9.2% - 12.0%),9.54 (8.34 - 10.91),3839,32900 (29300 - 37100)
Spain,0.099 (0.094 - 0.105),13.9% (12.3% - 15.6%),7.21 (6.4 - 8.16),7992,52900 (47300 - 59400)
South_Africa,0.038 (0.03 - 0.048),36.1% (27.8% - 47.4%),2.77 (2.11 - 3.59),3084,8500 (7320 - 9920)
Serbia,0.015 (0.01 - 0.021),94.4% (64.7% - 100.0%),1.06 (1 - 1.55),670,835 (725 - 984)
Saudi_Arabia,0.007 (0.006 - 0.009),100.0% (100.0% - 100.0%),1 (1 - 1),11677,11700 (11700 - 11700)
Russia,0.014 (0.013 - 0.015),97.2% (84.7% - 100.0%),1.03 (1 - 1.18),74622,80100 (75200 - 89500)
Romania,0.069 (0.059 - 0.08),20.0% (16.6% - 24.0%),5.01 (4.17 - 6.03),2399,12600 (11100 - 14300)
Puerto_Rico,0.056 (0.032 - 0.09),24.4% (15.1% - 44.6%),4.09 (2.24 - 6.6),416,1960 (1480 - 2540)
Portugal,0.038 (0.031 - 0.045),36.6% (29.5% - 45.7%),2.73 (2.19 - 3.39),2216,5180 (4500 - 5970)
Poland,0.052 (0.043 - 0.061),26.6% (21.7% - 32.8%),3.76 (3.05 - 4.61),2276,8390 (7380 - 9580)
Philippines,0.069 (0.057 - 0.083),19.9% (16.1% - 24.9%),5.03 (4.02 - 6.21),1682,9890 (8630 - 11400)
Peru,0.041 (0.038 - 0.044),33.5% (29.2% - 38.2%),2.99 (2.62 - 3.42),22481,82700 (74100 - 93000)
Panama,0.029 (0.021 - 0.039),47.3% (34.8% - 66.1%),2.11 (1.51 - 2.87),1192,2540 (2150 - 2990)
Pakistan,0.035 (0.031 - 0.04),38.8% (32.6% - 46.1%),2.57 (2.17 - 3.07),10362,30800 (27300 - 34900)
Nigeria,0.049 (0.036 - 0.065),28.1% (20.8% - 39.0%),3.55 (2.56 - 4.82),1763,9310 (7950 - 10900)
Netherlands,0.108 (0.099 - 0.118),12.7% (11.0% - 14.6%),7.89 (6.87 - 9.07),2146,15800 (14000 - 17900)
Morocco,0.014 (0.008 - 0.022),99.8% (60.8% - 100.0%),1 (1 - 1.64),1181,1280 (1180 - 1500)
Moldova,0.04 (0.029 - 0.054),34.5% (25.0% - 49.1%),2.89 (2.04 - 3.99),815,2020 (1680 - 2430)
Mexico,0.176 (0.167 - 0.185),7.8% (6.9% - 8.8%),12.77 (11.34 - 14.41),11372,132000 (118000 - 148000)
Japan,0.055 (0.047 - 0.066),24.8% (20.2% - 30.4%),4.04 (3.29 - 4.95),908,3480 (3030 - 3990)
Italy,0.103 (0.098 - 0.108),13.4% (11.8% - 15.0%),7.48 (6.66 - 8.45),8940,69400 (62300 - 77900)
Israel,0.013 (0.008 - 0.021),100.0% (65.1% - 100.0%),1 (1 - 1.54),269,296 (272 - 339)
Ireland,0.054 (0.046 - 0.062),25.6% (21.4% - 30.7%),3.91 (3.26 - 4.67),1584,6100 (5380 - 6960)
Iran,0.056 (0.051 - 0.062),24.5% (21.2% - 28.3%),4.09 (3.54 - 4.71),9772,39400 (35200 - 44400)
Indonesia,0.055 (0.046 - 0.064),25.1% (20.6% - 30.8%),3.98 (3.25 - 4.85),2802,10200 (8950 - 11700)
India,0.068 (0.064 - 0.073),20.2% (17.7% - 22.9%),4.96 (4.37 - 5.65),22959,108000 (96800 - 121000)
Hungary,0.141 (0.113 - 0.172),9.8% (7.8% - 12.5%),10.22 (8.01 - 12.87),265,2460 (2050 - 2940)
Honduras,0.124 (0.087 - 0.166),11.2% (8.1% - 16.0%),8.97 (6.26 - 12.35),820,9220 (7600 - 11100)
Greece,0.049 (0.023 - 0.089),27.9% (15.3% - 59.4%),3.59 (1.68 - 6.55),90,286 (204 - 400)
Germany,0.069 (0.065 - 0.074),19.9% (17.4% - 22.6%),5.03 (4.42 - 5.74),6722,30500 (27300 - 34300)
France,0.167 (0.16 - 0.175),8.2% (7.3% - 9.2%),12.13 (10.82 - 13.68),7875,87500 (78200 - 98300)
Finland,0.061 (0.045 - 0.08),22.5% (16.9% - 31.1%),4.44 (3.21 - 5.93),701,2870 (2420 - 3420)
Egypt,0.059 (0.048 - 0.071),23.4% (18.9% - 29.3%),4.28 (3.42 - 5.3),2771,14300 (12500 - 16400)
Ecuador,0.026 (0.023 - 0.029),52.9% (45.4% - 61.6%),1.89 (1.62 - 2.2),9489,94100 (84000 - 106000)
Dominican_Republic,0.041 (0.032 - 0.052),33.3% (25.7% - 44.5%),3.01 (2.25 - 3.9),2304,7300 (6300 - 8450)
Denmark,0.046 (0.035 - 0.059),29.9% (22.8% - 40.4%),3.34 (2.48 - 4.39),912,3590 (3080 - 4200)
Czechia,0.064 (0.045 - 0.088),21.6% (15.5% - 31.5%),4.64 (3.17 - 6.46),340,1320 (1080 - 1610)
Colombia,0.065 (0.054 - 0.076),21.3% (17.4% - 26.2%),4.7 (3.82 - 5.74),3210,16200 (14300 - 18600)
Chile,0.014 (0.011 - 0.018),96.4% (73.7% - 100.0%),1.04 (1 - 1.36),8784,12300 (10800 - 14200)
Canada,0.098 (0.093 - 0.104),14.0% (12.3% - 15.8%),7.13 (6.32 - 8.1),10988,79600 (71200 - 89300)
Cameroon,0.076 (0.056 - 0.099),18.3% (13.6% - 24.8%),5.48 (4.04 - 7.33),197,1080 (791 - 1450)
Brazil,0.121 (0.117 - 0.124),11.4% (10.1% - 12.7%),8.77 (7.86 - 9.86),59380,545000 (490000 - 611000)
Bolivia,0.096 (0.072 - 0.125),14.3% (10.8% - 19.5%),6.98 (5.13 - 9.3),967,6690 (5600 - 7970)
Belgium,0.138 (0.129 - 0.147),10.0% (8.8% - 11.3%),10 (8.86 - 11.38),3079,25500 (22800 - 28800)
Belarus,0.005 (0.003 - 0.007),100.0% (100.0% - 100.0%),1 (1 - 1),6224,6220 (6220 - 6220)
Bangladesh,0.012 (0.009 - 0.016),100.0% (84.5% - 100.0%),1 (1 - 1.18),4980,4990 (4980 - 5270)
Austria,0.044 (0.027 - 0.066),31.4% (20.8% - 50.9%),3.19 (1.96 - 4.82),307,1580 (1280 - 1940)
Argentina,0.064 (0.05 - 0.081),21.4% (16.6% - 28.1%),4.67 (3.56 - 6.02),1095,5470 (4710 - 6390)
Algeria,0.038 (0.027 - 0.052),36.1% (26.1% - 51.8%),2.77 (1.93 - 3.83),1263,3970 (3350 - 4720)
Afghanistan,0.053 (0.039 - 0.071),25.8% (19.0% - 35.7%),3.88 (2.8 - 5.27),1564,7040 (5930 - 8340)
