country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
United_States_of_America,0.065 (0.064 - 0.066),21.1% (18.9% - 23.5%),4.74 (4.26 - 5.29),194016,942000 (846000 - 1050000)
United_Kingdom,0.128 (0.124 - 0.132),10.7% (9.6% - 12.0%),9.3 (8.33 - 10.42),33883,341000 (306000 - 381000)
United_Arab_Emirates,0.018 (0.014 - 0.024),74.3% (56.7% - 100.0%),1.35 (1 - 1.76),3786,4610 (4080 - 5320)
Ukraine,0.023 (0.018 - 0.028),60.4% (46.8% - 78.8%),1.65 (1.27 - 2.14),2794,5050 (4240 - 6000)
Turkey,0.022 (0.02 - 0.024),62.2% (54.4% - 70.9%),1.61 (1.41 - 1.84),16602,28500 (25600 - 31900)
Switzerland,0.071 (0.06 - 0.083),19.4% (16.1% - 23.6%),5.17 (4.24 - 6.22),923,4630 (4040 - 5300)
Sweden,0.117 (0.107 - 0.127),11.7% (10.2% - 13.5%),8.52 (7.42 - 9.78),3905,42100 (37500 - 47400)
Spain,0.091 (0.087 - 0.095),15.1% (13.5% - 17.0%),6.61 (5.89 - 7.43),8948,58300 (52300 - 65100)
South_Korea,0.087 (0.042 - 0.155),15.7% (8.8% - 33.1%),6.37 (3.02 - 11.39),65,292 (198 - 426)
South_Africa,0.031 (0.022 - 0.042),44.1% (32.1% - 61.9%),2.27 (1.62 - 3.12),1975,5120 (4320 - 6030)
Serbia,0.017 (0.012 - 0.024),78.9% (56.9% - 100.0%),1.27 (1 - 1.76),1583,1900 (1680 - 2210)
Saudi_Arabia,0.006 (0.004 - 0.008),100.0% (100.0% - 100.0%),1 (1 - 1),9160,9160 (9160 - 9480)
Russia,0.016 (0.015 - 0.018),83.4% (72.9% - 95.6%),1.2 (1.05 - 1.37),49466,65000 (58100 - 72900)
Romania,0.082 (0.072 - 0.094),16.7% (14.1% - 20.0%),5.98 (5 - 7.11),2097,11200 (9890 - 12800)
Portugal,0.038 (0.032 - 0.045),36.3% (29.8% - 44.2%),2.75 (2.26 - 3.35),1798,6290 (5540 - 7180)
Poland,0.054 (0.046 - 0.064),25.3% (20.9% - 30.8%),3.96 (3.25 - 4.79),2102,10900 (9620 - 12400)
Philippines,0.08 (0.066 - 0.095),17.2% (14.0% - 21.4%),5.8 (4.68 - 7.15),1634,7900 (6880 - 9060)
Peru,0.06 (0.055 - 0.065),23.0% (20.0% - 26.4%),4.34 (3.78 - 4.99),17203,67900 (60600 - 76200)
Panama,0.032 (0.023 - 0.043),43.0% (31.4% - 60.7%),2.33 (1.65 - 3.18),1552,3520 (2970 - 4170)
Pakistan,0.045 (0.039 - 0.052),30.6% (25.5% - 36.7%),3.27 (2.72 - 3.92),6380,20200 (17800 - 23000)
Norway,0.019 (0.01 - 0.032),71.7% (42.0% - 100.0%),1.4 (1 - 2.38),292,1000 (814 - 1240)
Netherlands,0.089 (0.082 - 0.096),15.5% (13.6% - 17.7%),6.44 (5.64 - 7.34),3046,21200 (18900 - 23800)
Morocco,0.011 (0.006 - 0.018),100.0% (75.6% - 100.0%),1 (1 - 1.32),832,1020 (887 - 1220)
Moldova,0.038 (0.026 - 0.053),35.8% (25.3% - 52.9%),2.79 (1.89 - 3.95),748,2330 (1950 - 2790)
Mexico,0.157 (0.147 - 0.167),8.8% (7.7% - 10.0%),11.39 (10.04 - 12.95),8246,118000 (106000 - 132000)
Japan,0.044 (0.038 - 0.052),30.9% (25.6% - 37.6%),3.24 (2.66 - 3.91),1657,5100 (4490 - 5800)
Italy,0.109 (0.104 - 0.113),12.7% (11.3% - 14.2%),7.9 (7.05 - 8.86),13977,114000 (102000 - 127000)
Israel,0.014 (0.01 - 0.02),95.8% (67.0% - 100.0%),1.04 (1 - 1.49),887,916 (887 - 1010)
Ireland,0.05 (0.044 - 0.056),27.7% (23.5% - 32.7%),3.61 (3.05 - 4.26),2615,14700 (13100 - 16600)
Iran,0.053 (0.049 - 0.058),25.8% (22.5% - 29.6%),3.88 (3.38 - 4.45),7120,27300 (24400 - 30600)
Indonesia,0.049 (0.04 - 0.058),28.3% (22.9% - 35.0%),3.53 (2.85 - 4.36),2236,10100 (8850 - 11500)
India,0.052 (0.048 - 0.057),26.4% (23.0% - 30.4%),3.79 (3.29 - 4.35),13484,49300 (43800 - 55300)
Hungary,0.114 (0.09 - 0.141),12.1% (9.5% - 15.6%),8.28 (6.41 - 10.54),498,4790 (4100 - 5620)
Greece,0.059 (0.033 - 0.095),23.3% (14.3% - 42.0%),4.3 (2.38 - 7),114,744 (540 - 1030)
Germany,0.058 (0.055 - 0.062),23.6% (20.9% - 26.7%),4.24 (3.74 - 4.79),8321,37300 (33300 - 41700)
France,0.155 (0.149 - 0.161),8.9% (7.9% - 9.9%),11.29 (10.09 - 12.67),6865,78000 (69800 - 87300)
Finland,0.04 (0.028 - 0.055),34.5% (24.8% - 49.1%),2.9 (2.04 - 4.03),704,3930 (3350 - 4610)
Egypt,0.098 (0.082 - 0.117),14.0% (11.4% - 17.3%),7.14 (5.78 - 8.75),1874,13200 (11500 - 15200)
Ecuador,0.268 (0.252 - 0.284),5.1% (4.5% - 5.8%),19.45 (17.23 - 22.01),16281,93300 (81800 - 106000)
Dominican_Republic,0.031 (0.024 - 0.041),44.0% (33.0% - 59.0%),2.27 (1.69 - 3.03),1652,3200 (2710 - 3770)
Denmark,0.048 (0.037 - 0.061),28.8% (22.1% - 38.4%),3.47 (2.6 - 4.52),962,3440 (2960 - 4020)
Czechia,0.034 (0.023 - 0.048),40.3% (28.1% - 60.9%),2.48 (1.64 - 3.56),403,854 (698 - 1050)
Colombia,0.072 (0.059 - 0.087),19.1% (15.3% - 24.0%),5.24 (4.17 - 6.52),2143,10900 (9410 - 12500)
Chile,0.022 (0.017 - 0.028),62.1% (48.3% - 81.0%),1.61 (1.23 - 2.07),5577,8480 (7280 - 9870)
Canada,0.095 (0.09 - 0.101),14.4% (12.8% - 16.3%),6.92 (6.13 - 7.81),11373,81500 (72900 - 91200)
Brazil,0.149 (0.144 - 0.154),9.2% (8.2% - 10.3%),10.85 (9.68 - 12.16),38050,412000 (370000 - 460000)
