country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
Yemen,0.137 (0.101 - 0.179),10.0% (7.6% - 13.9%),9.97 (7.21 - 13.24),180,2590 (2070 - 3240)
United_States_of_America,0.024 (0.023 - 0.025),56.9% (50.7% - 63.6%),1.76 (1.57 - 1.97),255204,494000 (444000 - 553000)
United_Kingdom,0.102 (0.095 - 0.108),13.5% (12.0% - 15.3%),7.38 (6.52 - 8.36),7140,51000 (45600 - 57200)
United_Arab_Emirates,0.003 (0.002 - 0.006),100.0% (100.0% - 100.0%),1 (1 - 1),2827,2830 (2830 - 2830)
Ukraine,0.024 (0.02 - 0.029),56.7% (46.2% - 70.5%),1.76 (1.42 - 2.16),6240,12700 (11100 - 14600)
Turkey,0.017 (0.014 - 0.019),83.3% (69.2% - 100.0%),1.2 (1 - 1.45),9390,13200 (11700 - 15000)
Sweden,0.032 (0.028 - 0.036),42.9% (36.3% - 50.8%),2.33 (1.97 - 2.76),9094,19800 (17500 - 22600)
Sudan,0.037 (0.028 - 0.048),37.1% (28.2% - 50.1%),2.7 (2 - 3.54),678,2830 (2380 - 3380)
Spain,0.008 (0.005 - 0.012),100.0% (100.0% - 100.0%),1 (1 - 1),2197,46700 (41400 - 52900)
South_Africa,0.022 (0.02 - 0.024),62.5% (54.5% - 71.8%),1.6 (1.39 - 1.84),39119,66400 (59200 - 74500)
Senegal,0.027 (0.017 - 0.041),50.9% (33.3% - 81.9%),1.97 (1.22 - 3.01),721,1500 (1220 - 1840)
Saudi_Arabia,0.01 (0.009 - 0.011),100.0% (100.0% - 100.0%),1 (1 - 1),24271,24300 (24300 - 24800)
Russia,0.016 (0.015 - 0.017),84.2% (74.2% - 95.5%),1.19 (1.05 - 1.35),50694,63000 (56500 - 70500)
Romania,0.05 (0.04 - 0.061),27.5% (22.0% - 34.9%),3.63 (2.86 - 4.55),2292,10600 (9230 - 12200)
Qatar,0.002 (0.001 - 0.003),100.0% (100.0% - 100.0%),1 (1 - 1),7175,7180 (7180 - 7180)
Portugal,0.015 (0.011 - 0.021),90.1% (64.4% - 100.0%),1.11 (1 - 1.55),2348,2420 (2350 - 2640)
Poland,0.032 (0.026 - 0.039),42.8% (34.1% - 54.2%),2.34 (1.84 - 2.93),2094,5280 (4610 - 6060)
Philippines,0.023 (0.019 - 0.028),59.9% (47.6% - 76.1%),1.67 (1.31 - 2.1),5403,8900 (7760 - 10200)
