country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
United_States_of_America,0.086 (0.085 - 0.087),16.0% (14.3% - 17.8%),6.26 (5.62 - 7.01),205135,1210000 (1090000 - 1350000)
United_Kingdom,0.18 (0.176 - 0.185),7.6% (6.8% - 8.5%),13.09 (11.72 - 14.71),35226,557000 (5e+05 - 624000)
Ukraine,0.067 (0.053 - 0.084),20.4% (16.0% - 26.6%),4.89 (3.76 - 6.25),2938,15900 (13600 - 18500)
Turkey,0.035 (0.032 - 0.037),39.6% (34.7% - 44.9%),2.53 (2.23 - 2.88),30162,86300 (77100 - 96900)
Switzerland,0.05 (0.044 - 0.055),27.8% (23.7% - 32.5%),3.6 (3.07 - 4.22),2502,7600 (6730 - 8620)
Sweden,0.182 (0.169 - 0.195),7.6% (6.6% - 8.6%),13.19 (11.59 - 15.05),3671,44400 (39500 - 50100)
Spain,0.083 (0.081 - 0.086),16.5% (14.7% - 18.5%),6.05 (5.42 - 6.8),29874,177000 (159000 - 198000)
South_Korea,0.044 (0.028 - 0.066),31.0% (20.5% - 50.4%),3.22 (1.99 - 4.87),149,467 (371 - 589)
Serbia,0.028 (0.02 - 0.037),49.5% (36.4% - 69.3%),2.02 (1.44 - 2.75),2614,5190 (4320 - 6260)
Russia,0.034 (0.03 - 0.039),40.6% (34.2% - 48.2%),2.46 (2.08 - 2.93),23209,55900 (49300 - 63600)
Romania,0.06 (0.05 - 0.07),23.1% (19.0% - 28.2%),4.33 (3.54 - 5.26),2428,13400 (11700 - 15300)
Portugal,0.042 (0.037 - 0.048),32.7% (27.6% - 38.9%),3.06 (2.57 - 3.63),3698,11200 (9900 - 12700)
Poland,0.055 (0.046 - 0.064),25.0% (20.6% - 30.5%),4 (3.28 - 4.85),2386,11100 (9760 - 12700)
Philippines,0.099 (0.085 - 0.115),13.8% (11.5% - 16.7%),7.23 (5.97 - 8.71),1659,11000 (9690 - 12600)
Peru,0.055 (0.047 - 0.064),25.0% (20.8% - 30.3%),4 (3.3 - 4.82),7572,46400 (40500 - 53400)
Panama,0.035 (0.025 - 0.046),39.7% (29.2% - 55.5%),2.52 (1.8 - 3.42),1039,3040 (2560 - 3620)
Pakistan,0.034 (0.027 - 0.042),40.3% (31.7% - 52.4%),2.48 (1.91 - 3.15),2955,7690 (6630 - 8930)
Norway,0.039 (0.029 - 0.051),35.3% (26.5% - 47.6%),2.83 (2.1 - 3.77),664,1640 (1380 - 1970)
Netherlands,0.134 (0.127 - 0.142),10.2% (9.0% - 11.6%),9.76 (8.64 - 11.08),7176,68800 (61500 - 77400)
Morocco,0.042 (0.028 - 0.06),32.5% (22.7% - 49.4%),3.08 (2.03 - 4.4),1140,5420 (4560 - 6470)
Mexico,0.213 (0.195 - 0.233),6.4% (5.6% - 7.4%),15.51 (13.47 - 17.86),3278,50800 (45000 - 57400)
