country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
United_States_of_America,0.042 (0.041 - 0.043),32.7% (29.2% - 36.5%),3.06 (2.74 - 3.43),147714,482000 (433000 - 540000)
United_Kingdom,0.083 (0.079 - 0.087),16.6% (14.7% - 18.7%),6.01 (5.35 - 6.79),15672,86800 (78000 - 97300)
United_Arab_Emirates,0.003 (0.002 - 0.005),100.0% (100.0% - 100.0%),1 (1 - 1),5192,5190 (5190 - 5190)
Ukraine,0.032 (0.026 - 0.039),43.3% (34.6% - 55.0%),2.31 (1.82 - 2.89),2624,5900 (5080 - 6860)
Turkey,0.022 (0.019 - 0.025),62.2% (52.3% - 73.9%),1.61 (1.35 - 1.91),7417,10700 (9470 - 12200)
Switzerland,0.065 (0.038 - 0.101),21.1% (13.4% - 37.0%),4.74 (2.7 - 7.49),120,733 (561 - 958)
Sweden,0.112 (0.102 - 0.122),12.3% (10.7% - 14.2%),8.11 (7.02 - 9.35),3925,29700 (26400 - 33400)
Sudan,0.104 (0.087 - 0.123),13.2% (10.8% - 16.2%),7.59 (6.17 - 9.3),1172,7120 (6140 - 8280)
Spain,0.089 (0.08 - 0.097),15.5% (13.4% - 17.9%),6.44 (5.58 - 7.44),4903,38500 (34200 - 43300)
South_Africa,0.039 (0.034 - 0.044),35.6% (30.1% - 41.9%),2.81 (2.38 - 3.32),9624,27000 (24000 - 30500)
Saudi_Arabia,0.006 (0.005 - 0.007),100.0% (100.0% - 100.0%),1 (1 - 1),13223,13200 (13200 - 13200)
Russia,0.017 (0.016 - 0.018),78.7% (69.6% - 89.0%),1.27 (1.12 - 1.44),60693,65800 (62600 - 71400)
Romania,0.061 (0.049 - 0.074),22.7% (18.0% - 28.8%),4.41 (3.47 - 5.54),1276,4960 (4300 - 5720)
Portugal,0.061 (0.049 - 0.073),22.7% (18.3% - 28.5%),4.41 (3.51 - 5.47),1732,7730 (6730 - 8870)
Poland,0.027 (0.021 - 0.034),51.2% (39.6% - 66.5%),1.95 (1.5 - 2.53),2640,5310 (4610 - 6120)
Philippines,0.055 (0.044 - 0.067),24.9% (20.0% - 31.6%),4.01 (3.17 - 5.01),3447,11100 (9560 - 12900)
Peru,0.037 (0.035 - 0.039),37.3% (32.9% - 42.2%),2.68 (2.37 - 3.04),39917,107000 (96100 - 120000)
Panama,0.029 (0.02 - 0.04),47.3% (33.6% - 69.3%),2.11 (1.44 - 2.98),2441,4850 (4070 - 5810)
Pakistan,0.028 (0.025 - 0.031),49.6% (42.7% - 57.7%),2.02 (1.73 - 2.34),14895,25400 (22600 - 28700)
North_Macedonia,0.108 (0.068 - 0.161),12.7% (8.4% - 20.2%),7.89 (4.94 - 11.95),223,1320 (999 - 1720)
