country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
Yemen,0.403 (0.303 - 0.508),3.4% (2.6% - 4.6%),29.24 (21.66 - 37.89),163,5220 (4180 - 6480)
United_States_of_America,0.04 (0.039 - 0.041),34.1% (30.4% - 38.1%),2.93 (2.63 - 3.29),149677,468000 (421000 - 523000)
United_Kingdom,0.119 (0.115 - 0.124),11.5% (10.2% - 12.9%),8.68 (7.75 - 9.79),12042,102000 (91100 - 114000)
United_Arab_Emirates,0.002 (0.001 - 0.004),100.0% (100.0% - 100.0%),1 (1 - 1),4372,4370 (4370 - 4370)
Ukraine,0.03 (0.024 - 0.037),45.3% (35.6% - 57.6%),2.21 (1.74 - 2.81),3310,8410 (7310 - 9720)
Turkey,0.021 (0.018 - 0.024),65.7% (54.5% - 79.7%),1.52 (1.25 - 1.83),6115,10000 (8890 - 11400)
Sweden,0.072 (0.064 - 0.081),19.0% (16.2% - 22.3%),5.26 (4.49 - 6.18),6774,43700 (38800 - 49400)
Sudan,0.066 (0.053 - 0.08),21.0% (16.8% - 26.7%),4.77 (3.75 - 5.97),1065,7130 (6210 - 8230)
Spain,0.002 (0.001 - 0.003),100.0% (100.0% - 100.0%),1 (1 - 1),2121,2940 (2760 - 3160)
South_Africa,0.039 (0.034 - 0.043),35.6% (30.6% - 41.6%),2.81 (2.4 - 3.27),15006,40500 (36100 - 45600)
Saudi_Arabia,0.012 (0.011 - 0.014),100.0% (92.9% - 100.0%),1 (1 - 1.08),15485,15500 (15500 - 15700)
Russia,0.019 (0.018 - 0.02),72.9% (64.4% - 82.4%),1.37 (1.21 - 1.55),62114,85500 (76700 - 95700)
Romania,0.053 (0.041 - 0.066),26.0% (20.3% - 34.1%),3.84 (2.94 - 4.92),1157,4840 (4180 - 5600)
Portugal,0.047 (0.038 - 0.058),29.1% (23.2% - 37.4%),3.43 (2.68 - 4.32),2148,8500 (7400 - 9760)
Poland,0.034 (0.028 - 0.041),40.3% (32.1% - 50.9%),2.48 (1.97 - 3.11),2415,5200 (4480 - 6040)
Philippines,0.02 (0.015 - 0.027),67.1% (49.8% - 91.6%),1.49 (1.09 - 2.01),4116,12800 (11100 - 14900)
Peru,0.029 (0.027 - 0.03),48.1% (42.3% - 54.4%),2.08 (1.84 - 2.37),36087,88100 (78900 - 98800)
Panama,0.031 (0.024 - 0.039),44.6% (34.1% - 59.5%),2.24 (1.68 - 2.93),2986,6500 (5540 - 7630)
Pakistan,0.038 (0.035 - 0.041),36.3% (31.5% - 41.7%),2.76 (2.4 - 3.17),29447,76600 (68600 - 86200)
North_Macedonia,0.106 (0.068 - 0.155),12.9% (8.7% - 20.4%),7.74 (4.89 - 11.49),753,7240 (5960 - 8760)
