country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
United_States_of_America,0.069 (0.067 - 0.07),20.1% (17.9% - 22.4%),4.98 (4.47 - 5.59),203967,1160000 (1040000 - 1300000)
United_Kingdom,0.13 (0.126 - 0.133),10.6% (9.4% - 11.9%),9.42 (8.42 - 10.58),34160,361000 (324000 - 405000)
Ukraine,0.029 (0.023 - 0.037),46.8% (36.6% - 61.3%),2.14 (1.63 - 2.73),3168,9950 (8630 - 11600)
Turkey,0.026 (0.025 - 0.028),52.1% (45.6% - 59.0%),1.92 (1.7 - 2.19),25444,55900 (50100 - 62800)
Switzerland,0.064 (0.056 - 0.072),21.7% (18.3% - 25.6%),4.62 (3.9 - 5.48),1489,6440 (5680 - 7310)
Sweden,0.19 (0.177 - 0.202),7.3% (6.4% - 8.2%),13.78 (12.16 - 15.71),4355,61600 (55000 - 69400)
Spain,0.089 (0.086 - 0.093),15.4% (13.7% - 17.2%),6.5 (5.81 - 7.32),32033,204000 (183000 - 229000)
South_Korea,0.04 (0.019 - 0.073),34.3% (18.7% - 74.1%),2.92 (1.35 - 5.35),67,212 (155 - 291)
Serbia,0.015 (0.011 - 0.021),89.4% (63.7% - 100.0%),1.12 (1 - 1.57),1785,2640 (2260 - 3110)
Saudi_Arabia,0.015 (0.011 - 0.02),92.3% (68.7% - 100.0%),1.08 (1 - 1.46),8025,10800 (9410 - 12600)
Russia,0.023 (0.021 - 0.025),60.3% (52.0% - 70.0%),1.66 (1.43 - 1.92),37795,77500 (69100 - 87600)
Romania,0.063 (0.054 - 0.073),21.7% (18.0% - 26.3%),4.61 (3.8 - 5.55),2217,9340 (8180 - 10700)
Portugal,0.041 (0.036 - 0.047),33.4% (28.1% - 39.9%),2.99 (2.51 - 3.56),3707,10400 (9210 - 11800)
Poland,0.073 (0.063 - 0.084),18.8% (15.8% - 22.5%),5.31 (4.44 - 6.33),2531,10700 (9410 - 12200)
Philippines,0.063 (0.052 - 0.076),21.8% (17.6% - 27.2%),4.59 (3.67 - 5.68),1207,6340 (5510 - 7320)
Peru,0.052 (0.046 - 0.057),26.7% (23.0% - 30.9%),3.74 (3.24 - 4.35),10911,42000 (37400 - 47400)
Panama,0.031 (0.022 - 0.041),44.5% (32.4% - 62.6%),2.25 (1.6 - 3.09),1265,2860 (2430 - 3390)
Pakistan,0.048 (0.039 - 0.057),28.9% (23.4% - 35.9%),3.46 (2.79 - 4.28),4730,15900 (13800 - 18300)
Norway,0.067 (0.05 - 0.087),20.6% (15.3% - 28.2%),4.85 (3.55 - 6.52),483,1880 (1570 - 2240)
Netherlands,0.107 (0.1 - 0.114),12.9% (11.3% - 14.6%),7.77 (6.86 - 8.84),5601,48700 (43600 - 54800)
Morocco,0.026 (0.017 - 0.039),52.4% (35.0% - 81.5%),1.91 (1.23 - 2.86),1212,2770 (2270 - 3370)
Mexico,0.236 (0.221 - 0.252),5.8% (5.1% - 6.6%),17.19 (15.12 - 19.62),6345,103000 (91600 - 115000)
Japan,0.045 (0.039 - 0.052),30.2% (25.3% - 36.2%),3.31 (2.77 - 3.94),2821,7650 (6690 - 8740)
Italy,0.122 (0.118 - 0.126),11.3% (10.0% - 12.6%),8.88 (7.94 - 9.99),19426,179000 (160000 - 2e+05)
Israel,0.013 (0.009 - 0.017),100.0% (78.6% - 100.0%),1 (1 - 1.27),2033,2800 (2410 - 3270)
Ireland,0.086 (0.079 - 0.094),15.9% (13.8% - 18.3%),6.28 (5.47 - 7.23),3803,20700 (18400 - 23400)
Iran,0.051 (0.047 - 0.055),26.9% (23.5% - 30.7%),3.72 (3.25 - 4.26),8460,27100 (24300 - 30500)
Indonesia,0.085 (0.074 - 0.097),16.1% (13.6% - 19.2%),6.19 (5.2 - 7.36),2359,16200 (14300 - 18500)
India,0.049 (0.044 - 0.054),28.2% (24.2% - 33.0%),3.54 (3.03 - 4.13),10784,40100 (35700 - 45300)
Hungary,0.134 (0.109 - 0.161),10.3% (8.3% - 13.0%),9.73 (7.71 - 12.1),584,6100 (5250 - 7120)
Greece,0.088 (0.059 - 0.123),15.7% (10.9% - 23.8%),6.38 (4.21 - 9.14),299,1160 (875 - 1530)
Germany,0.059 (0.056 - 0.062),23.2% (20.5% - 26.1%),4.31 (3.83 - 4.88),14278,57100 (51200 - 64100)
France,0.145 (0.14 - 0.15),9.5% (8.4% - 10.6%),10.53 (9.43 - 11.85),12293,158000 (141000 - 177000)
Finland,0.118 (0.097 - 0.141),11.7% (9.4% - 14.6%),8.56 (6.86 - 10.61),794,4780 (4100 - 5560)
Egypt,0.082 (0.066 - 0.1),16.8% (13.3% - 21.3%),5.95 (4.69 - 7.5),1287,8160 (7030 - 9510)
Ecuador,0.04 (0.033 - 0.047),34.7% (28.2% - 42.5%),2.88 (2.35 - 3.54),2161,7640 (6660 - 8790)
Dominican_Republic,0.04 (0.03 - 0.051),34.6% (26.5% - 46.4%),2.89 (2.15 - 3.77),1591,6010 (5180 - 7030)
Denmark,0.052 (0.041 - 0.064),26.7% (20.8% - 34.6%),3.75 (2.89 - 4.8),1203,3800 (3280 - 4440)
Czechia,0.037 (0.026 - 0.049),37.6% (27.4% - 53.5%),2.66 (1.87 - 3.66),698,1690 (1430 - 1990)
Colombia,0.062 (0.048 - 0.077),22.4% (17.4% - 29.0%),4.47 (3.45 - 5.75),1521,6910 (5980 - 8010)
Chile,0.02 (0.015 - 0.025),69.3% (52.7% - 92.9%),1.44 (1.08 - 1.9),3128,4940 (4250 - 5740)
Canada,0.107 (0.101 - 0.113),12.9% (11.3% - 14.5%),7.76 (6.88 - 8.82),12000,88900 (79600 - 99800)
Brazil,0.133 (0.127 - 0.139),10.4% (9.2% - 11.6%),9.64 (8.59 - 10.86),21910,197000 (177000 - 222000)
Belgium,0.152 (0.145 - 0.159),9.0% (8.0% - 10.2%),11.06 (9.84 - 12.5),8142,108000 (96900 - 121000)
Bangladesh,0.053 (0.041 - 0.068),25.9% (19.9% - 34.5%),3.86 (2.9 - 5.03),2854,24800 (21300 - 28800)
Austria,0.067 (0.055 - 0.081),20.5% (16.5% - 25.9%),4.87 (3.85 - 6.05),472,1800 (1540 - 2110)
Argentina,0.079 (0.061 - 0.101),17.4% (13.2% - 23.2%),5.76 (4.31 - 7.56),939,4940 (4140 - 5920)
Algeria,0.085 (0.065 - 0.109),16.1% (12.3% - 21.6%),6.2 (4.63 - 8.12),721,5350 (4590 - 6260)
