country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
United_States_of_America,0.053 (0.052 - 0.054),25.9% (23.2% - 28.8%),3.86 (3.47 - 4.31),158343,640000 (576000 - 714000)
United_Kingdom,0.084 (0.081 - 0.087),16.5% (14.7% - 18.4%),6.07 (5.43 - 6.81),24901,167000 (150000 - 186000)
United_Arab_Emirates,0.008 (0.005 - 0.011),100.0% (100.0% - 100.0%),1 (1 - 1),5210,5820 (5400 - 6400)
Ukraine,0.037 (0.031 - 0.044),37.0% (30.2% - 45.8%),2.7 (2.18 - 3.31),3148,8520 (7480 - 9730)
Turkey,0.025 (0.023 - 0.028),55.0% (47.3% - 63.9%),1.82 (1.56 - 2.11),10952,18400 (16400 - 20700)
Switzerland,0.108 (0.086 - 0.133),12.8% (10.0% - 16.4%),7.83 (6.1 - 9.98),321,1940 (1630 - 2320)
Sweden,0.123 (0.113 - 0.134),11.2% (9.7% - 12.8%),8.95 (7.79 - 10.29),3756,34700 (31000 - 39200)
Spain,0.144 (0.136 - 0.152),9.6% (8.5% - 10.8%),10.45 (9.26 - 11.78),4535,47500 (42500 - 53300)
South_Africa,0.029 (0.023 - 0.036),47.3% (37.2% - 61.2%),2.11 (1.63 - 2.69),4935,11300 (9810 - 13000)
Serbia,0.015 (0.008 - 0.023),93.7% (58.9% - 100.0%),1.07 (1 - 1.7),464,507 (466 - 592)
Saudi_Arabia,0.006 (0.005 - 0.008),100.0% (100.0% - 100.0%),1 (1 - 1),14880,14900 (14900 - 14900)
Russia,0.011 (0.01 - 0.012),100.0% (100.0% - 100.0%),1 (1 - 1),73367,73900 (73400 - 77600)
Romania,0.07 (0.06 - 0.082),19.6% (16.3% - 23.7%),5.1 (4.23 - 6.12),1573,8660 (7600 - 9850)
Puerto_Rico,0.029 (0.016 - 0.046),48.2% (29.6% - 86.0%),2.07 (1.16 - 3.37),416,1110 (870 - 1420)
Portugal,0.04 (0.032 - 0.049),34.8% (27.4% - 44.6%),2.88 (2.24 - 3.65),1404,4050 (3510 - 4680)
Poland,0.06 (0.05 - 0.071),23.0% (18.9% - 28.1%),4.35 (3.55 - 5.28),2606,10800 (9490 - 12300)
Philippines,0.065 (0.054 - 0.078),21.1% (17.3% - 26.1%),4.73 (3.83 - 5.8),1695,8280 (7240 - 9470)
Peru,0.035 (0.032 - 0.037),39.8% (34.9% - 45.2%),2.51 (2.21 - 2.86),23526,59400 (53200 - 66500)
Panama,0.024 (0.017 - 0.033),57.7% (40.9% - 84.0%),1.73 (1.19 - 2.44),1167,2390 (2030 - 2820)
Pakistan,0.028 (0.024 - 0.031),49.5% (41.9% - 58.2%),2.02 (1.72 - 2.38),10686,23900 (21200 - 27000)
Nigeria,0.032 (0.024 - 0.042),43.3% (32.3% - 58.7%),2.31 (1.7 - 3.09),1470,4960 (4270 - 5780)
Netherlands,0.099 (0.088 - 0.111),13.9% (11.8% - 16.4%),7.18 (6.11 - 8.44),1488,11900 (10500 - 13500)
Moldova,0.063 (0.046 - 0.082),22.0% (16.6% - 30.1%),4.55 (3.32 - 6.04),1067,4540 (3840 - 5380)
Mexico,0.17 (0.163 - 0.178),8.1% (7.2% - 9.1%),12.37 (11.04 - 13.91),13684,168000 (151000 - 188000)
Kuwait,0.023 (0.018 - 0.03),58.7% (44.9% - 77.9%),1.7 (1.28 - 2.23),6179,8740 (7600 - 10100)
Japan,0.097 (0.082 - 0.114),14.2% (11.7% - 17.2%),7.06 (5.8 - 8.56),538,3080 (2650 - 3590)
